Sample	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-treatment_redundant_rate	MACS2_mqc-generalstats-macs2-control_redundant_rate	MACS2_mqc-generalstats-macs2-peak_count	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed
DS00050	200.0	0.76	0.87	526									
GSM2453484					2.1091979473140023	75.72746801673532	48.0	36.0	16.666666666666664	11846462.0			
GSM2453484_cutadapt						74.4678716416211	48.0	35.444722538003695	25.0	11766224.0			
GSM2453484_cutadapt_bowtie2						43.80270795388467	48.0	35.444722538003695	18.181818181818183	11766224.0	91.71		
GSM2453484_cutadapt_bowtie2_bam_stats												11766224	10790510
GSM2667742					4.118142600349939	14.807756221363931	46.0	40.0	16.666666666666664	51402174.0			
GSM2667742_cutadapt						14.413295000722883	46.0	38.66999898542645	8.333333333333332	50779956.0			
GSM2667742_cutadapt_bowtie2						36.06573621880719	46.0	38.66999898542645	9.090909090909092	50779956.0	98.27		
GSM2667742_cutadapt_bowtie2_bam_stats												50779956	49902952
GSM2667743					16.80081769262344	87.07609496909677	48.0	40.0	41.66666666666667	17245967.0			
GSM2667743_cutadapt						81.16402985035893	48.0	38.66701433484522	33.33333333333333	14766954.0			
GSM2667743_cutadapt_bowtie2						33.93684594551884	48.0	38.66701433484522	18.181818181818183	14766954.0	73.24		
GSM2667743_cutadapt_bowtie2_bam_stats												14766954	10815361
