Module	Section	Sample Name	Source
Samtools	flagstat	GSM2453484_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2453484/GSM2453484_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM2667742_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2667742/GSM2667742_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM2667743_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2667743/GSM2667743_cutadapt_bowtie2_bam_stats.txt
Bowtie 2 / HiSAT2	all_sections	GSM2453484_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2453484/GSM2453484_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM2667742_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2667742/GSM2667742_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM2667743_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2667743/GSM2667743_cutadapt_bowtie2.log
Cutadapt	all_sections	GSM2453484	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2453484/GSM2453484.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM2667742	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2667742/GSM2667742_cutadapt.log
Cutadapt	all_sections	GSM2667743	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2667743/GSM2667743.fastq.gz_trimming_report.txt
FastQC	all_sections	GSM2453484_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2453484/GSM2453484_cutadapt_bowtie2_bam_qc/GSM2453484_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM2453484	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2453484/GSM2453484_fastq.gz_qc/GSM2453484_fastqc.zip
FastQC	all_sections	GSM2453484_cutadapt	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2453484/GSM2453484_cutadapt_fastq.gz_qc/GSM2453484_cutadapt_fastqc.zip
FastQC	all_sections	GSM2667742_cutadapt	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2667742/GSM2667742_cutadapt_fastq.gz_qc/GSM2667742_cutadapt_fastqc.zip
FastQC	all_sections	GSM2667742_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2667742/GSM2667742_cutadapt_bowtie2_bam_qc/GSM2667742_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM2667742	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2667742/GSM2667742_fastq.gz_qc/GSM2667742_fastqc.zip
FastQC	all_sections	GSM2667743_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2667743/GSM2667743_cutadapt_bowtie2_bam_qc/GSM2667743_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM2667743	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2667743/GSM2667743_fastq.gz_qc/GSM2667743_fastqc.zip
FastQC	all_sections	GSM2667743_cutadapt	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE93506/samples/GSM2667743/GSM2667743_cutadapt_fastq.gz_qc/GSM2667743_cutadapt_fastqc.zip
